type,start_time,ambient_temperature,battery_id,test_id,uid,filename,capacity,re,rct,cycle_number,soh,capacity_fade,rul_cycles,health_status
discharge,[2010.       7.      21.      15.       0.      35.093],4,B0047,0,1,00001.csv,1.67430474469752,,,1,100.0,0.0,50,Healthy
discharge,[2.0100e+03 7.0000e+00 2.1000e+01 2.1000e+01 2.0000e+00 5.6984e+01],4,B0047,4,5,00005.csv,1.5243662105099,,,5,91.04472858585204,8.955271414147958,46,Healthy
discharge,[2.010e+03 7.000e+00 2.200e+01 1.000e+00 4.000e+01 6.218e+00],4,B0047,6,7,00007.csv,1.50807629699734,,,7,90.07179259172375,9.92820740827625,44,Healthy
discharge,[2010.       7.      22.       6.      16.      21.781],4,B0047,8,9,00009.csv,1.48355779600676,,,9,88.60739364832772,11.392606351672285,42,Healthy
discharge,[2010.       7.      22.      10.      51.      48.203],4,B0047,10,11,00011.csv,1.46713916661465,,,11,87.62676993307473,12.373230066925274,40,Healthy
discharge,[2010.       7.      22.      15.      26.      29.359],4,B0047,12,13,00013.csv,1.44885815698226,,,13,86.534913167436,13.465086832563998,38,Healthy
discharge,[2010.       7.      23.       9.      59.       8.718],4,B0047,16,17,00017.csv,1.44585341809493,,,17,86.35545128053363,13.644548719466371,34,Healthy
discharge,[2010.       7.      23.      15.      44.      51.671],4,B0047,20,21,00021.csv,1.43111826617828,,,21,85.47537541839945,14.524624581600548,30,Healthy
discharge,[2010.       7.      23.      20.      19.       2.359],4,B0047,22,23,00023.csv,1.41927455165785,,,23,84.76799436617831,15.232005633821686,28,Warning
discharge,[2010.       7.      24.       0.      52.      14.625],4,B0047,24,25,00025.csv,1.39999742218082,,,25,83.61664306420774,16.383356935792264,26,Warning
discharge,[2010.       7.      24.       5.      24.      46.453],4,B0047,26,27,00027.csv,1.38851566861144,,,27,82.93088059439796,17.069119405602038,24,Warning
discharge,[2010    7   24    9   56   39],4,B0047,28,29,00029.csv,1.36522346695289,,,29,81.53972395267454,18.460276047325465,22,Warning
discharge,[2010.       7.      27.      16.      12.       5.718],4,B0047,32,33,00033.csv,1.40604422729709,,,33,83.97779626140318,16.022203738596815,18,Warning
discharge,[2010.       7.      27.      21.      56.      24.312],4,B0047,36,37,00037.csv,1.40575416135257,,,37,83.9604717005406,16.039528299459406,14,Warning
discharge,[2.0100e+03 7.0000e+00 2.8000e+01 2.0000e+00 2.9000e+01 3.7343e+01],4,B0047,38,39,00039.csv,1.38676628817278,,,39,82.82639660220956,17.173603397790444,12,Warning
discharge,[2.0100e+03 7.0000e+00 2.8000e+01 7.0000e+00 1.0000e+00 5.7687e+01],4,B0047,40,41,00041.csv,1.37050530614202,,,41,81.85518857796795,18.14481142203205,10,Warning
discharge,[2.010e+03 7.000e+00 2.800e+01 1.100e+01 3.300e+01 1.828e+00],4,B0047,42,43,00043.csv,1.34974311148236,,,43,80.61513985174811,19.38486014825189,8,Warning
discharge,[2010.       7.      28.      16.       3.      39.015],4,B0047,44,45,00045.csv,1.32515333679397,,,45,79.14648399526409,20.85351600473591,6,Warning
discharge,[2010.     7.    28.    21.    45.    15.5],4,B0047,48,49,00049.csv,1.31119438696358,,,49,78.31276779905801,21.687232200941992,2,Warning
discharge,[2.0100e+03 7.0000e+00 2.9000e+01 2.0000e+00 1.4000e+01 2.9703e+01],4,B0047,50,51,00051.csv,0.0,,,51,0.0,100.0,0,Emergency
discharge,[2010.       7.      29.       5.      57.      18.515],4,B0047,52,53,00053.csv,1.33942344059328,,,53,79.99878426165841,20.001215738341585,0,Warning
discharge,[2010.       7.      29.      10.      29.      29.765],4,B0047,54,55,00055.csv,1.28491571425607,,,55,76.74324034052732,23.256759659472678,0,Warning
discharge,[2010.       7.      29.      14.      57.      39.921],4,B0047,56,57,00057.csv,1.2817191593278,,,57,76.5523219943664,23.447678005633605,0,Warning
discharge,[2010.       7.      29.      20.      36.      49.093],4,B0047,60,61,00061.csv,1.26000516429428,,,61,75.25542576909513,24.744574230904874,0,Warning
discharge,[2.0100e+03 7.0000e+00 3.0000e+01 1.0000e+00 3.0000e+00 4.8203e+01],4,B0047,62,63,00063.csv,1.26607038599312,,,63,75.61767892032393,24.382321079676075,0,Warning
discharge,[2010.       7.      30.       5.      30.      13.453],4,B0047,64,65,00065.csv,1.24135902942808,,,65,74.14176143019556,25.858238569804442,0,Warning
discharge,[2010.       7.      30.       9.      56.       7.796],4,B0047,66,67,00067.csv,1.22988737034853,,,67,73.45660186674807,26.543398133251927,0,Warning
discharge,[2010.       7.      30.      14.      21.       3.875],4,B0047,68,69,00069.csv,1.22808861450669,,,69,73.34916886522689,26.650831134773114,0,Warning
discharge,[2010.       7.      30.      19.      57.      28.859],4,B0047,72,73,00073.csv,1.213985718907,,,73,72.50685532318184,27.49314467681816,0,Warning
discharge,[2010.       7.      31.       0.      21.      41.812],4,B0047,74,75,00075.csv,1.21734350645641,,,75,72.70740349459712,27.292596505402884,0,Warning
discharge,[2010.       7.      31.       4.      45.      24.171],4,B0047,76,77,00077.csv,1.20734459445159,,,77,72.11020564059315,27.88979435940685,0,Warning
discharge,[2010.       7.      31.       9.       8.      38.406],4,B0047,78,79,00079.csv,1.18804049227045,,,79,70.95724335924768,29.042756640752316,0,Warning
discharge,[2010.       7.      31.      13.      31.       7.296],4,B0047,80,81,00081.csv,1.18630474988654,,,81,70.8535739173849,29.146426082615093,0,Warning
discharge,[2010.       8.       3.      15.      52.      53.046],4,B0047,84,85,00085.csv,1.26139354710285,,,85,75.338348714453,24.661651285546995,0,Warning
discharge,[2010.       8.       3.      21.      29.      43.953],4,B0047,88,89,00089.csv,1.26482461588506,,,89,75.54327370156042,24.456726298439577,0,Warning
discharge,[2.0100e+03 8.0000e+00 4.0000e+00 1.0000e+00 5.6000e+01 1.2734e+01],4,B0047,90,91,00091.csv,1.24664945489821,,,91,74.45773888214298,25.542261117857024,0,Warning
discharge,[2010.       8.       4.       6.      20.      57.078],4,B0047,92,93,00093.csv,1.2333924152795,,,93,73.66594517429529,26.334054825704712,0,Warning
discharge,[2010.      8.      4.     10.     44.     49.39],4,B0047,94,95,00095.csv,1.21292500720376,,,95,72.44350295518555,27.55649704481445,0,Warning
discharge,[2010.       8.       4.      15.       7.      58.828],4,B0047,96,97,00097.csv,1.19991065979436,,,97,71.66620435105654,28.333795648943465,0,Warning
discharge,[2010.     8.     4.    20.    41.    59.5],4,B0047,100,101,00101.csv,1.19025590383933,,,101,71.08956165888199,28.91043834111801,0,Warning
discharge,[2.010e+03 8.000e+00 5.000e+00 1.000e+00 4.000e+00 3.312e+00],4,B0047,102,103,00103.csv,1.18925637954558,,,103,71.0298637874571,28.970136212542897,0,Warning
discharge,[2010.       8.       5.       5.      25.       7.906],4,B0047,104,105,00105.csv,1.16706968512593,,,105,69.7047349845964,30.2952650154036,0,Critical
discharge,[2010.      8.      5.      9.     45.     36.39],4,B0047,106,107,00107.csv,1.16153484030903,,,107,69.37415927342862,30.625840726571383,0,Critical
discharge,[2010.       8.       5.      14.       5.      44.828],4,B0047,108,109,00109.csv,1.15555638443499,,,109,69.01708832245787,30.982911677542134,0,Critical
discharge,[2010.       8.       5.      19.      37.       8.125],4,B0047,112,113,00113.csv,1.14885246660977,,,113,68.61668822525625,31.383311774743746,0,Critical
discharge,[2010.       8.       5.      23.      56.      22.437],4,B0047,114,115,00115.csv,1.14357298678877,,,115,68.30136451625286,31.69863548374714,0,Critical
discharge,[2010.       8.       6.       4.      15.       3.234],4,B0047,116,117,00117.csv,1.14180153794285,,,117,68.19556246011403,31.804437539885967,0,Critical
